"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 06 23:05:36 GET 2022","Wed Jul 06 23:05:38 GET 2022","2391","","ru.yandex.praktikum.LoginTest","","ru.yandex.praktikum.LoginTest","successfulLoginByForgotPasswordView","Успешный вход из окна восстановления пароля",""
"passed","Wed Jul 06 23:05:38 GET 2022","Wed Jul 06 23:05:41 GET 2022","3134","","ru.yandex.praktikum.LoginTest","","ru.yandex.praktikum.LoginTest","successfulLoginByAccountButton","Успешный вход по кнопке 'Личный кабинет'",""
"passed","Wed Jul 06 23:05:56 GET 2022","Wed Jul 06 23:05:57 GET 2022","981","","ru.yandex.praktikum.RegisterTest","","ru.yandex.praktikum.RegisterTest","shortPassword","Неуспешная регистрация с коротким паролем",""
"passed","Wed Jul 06 23:05:33 GET 2022","Wed Jul 06 23:05:36 GET 2022","2585","","ru.yandex.praktikum.LoginTest","","ru.yandex.praktikum.LoginTest","successfulLoginByLoginButton","Успешный вход по кнопке 'Войти в аккаунт'",""
"passed","Wed Jul 06 23:05:51 GET 2022","Wed Jul 06 23:05:54 GET 2022","2725","","ru.yandex.praktikum.LoggedUserTest","","ru.yandex.praktikum.LoggedUserTest","constructorTransitionFromAccountByLogo","Переход в конструктор из профиля с логотипа",""
"passed","Wed Jul 06 23:05:45 GET 2022","Wed Jul 06 23:05:48 GET 2022","2872","","ru.yandex.praktikum.LoggedUserTest","","ru.yandex.praktikum.LoggedUserTest","accountTransitionFromConstructor","Переход в профиль из конструктора",""
"passed","Wed Jul 06 23:05:41 GET 2022","Wed Jul 06 23:05:42 GET 2022","793","","ru.yandex.praktikum.ConstructorTest","","ru.yandex.praktikum.ConstructorTest","sectionsSelect","Выбор секций",""
"passed","Wed Jul 06 23:05:22 GET 2022","Wed Jul 06 23:05:33 GET 2022","11572","","ru.yandex.praktikum.LoginTest","","ru.yandex.praktikum.LoginTest","successfulLoginByRegisterView","Успешный вход из окна регистрации",""
"passed","Wed Jul 06 23:05:48 GET 2022","Wed Jul 06 23:05:51 GET 2022","2679","","ru.yandex.praktikum.LoggedUserTest","","ru.yandex.praktikum.LoggedUserTest","constructorTransitionFromAccountByConstructorLink","Переход в конструктор из профиля с помощью ссылки",""
"passed","Wed Jul 06 23:05:54 GET 2022","Wed Jul 06 23:05:56 GET 2022","2197","","ru.yandex.praktikum.RegisterTest","","ru.yandex.praktikum.RegisterTest","successfulRegistration","Успешная регистрация",""
"passed","Wed Jul 06 23:05:42 GET 2022","Wed Jul 06 23:05:45 GET 2022","2944","","ru.yandex.praktikum.LoggedUserTest","","ru.yandex.praktikum.LoggedUserTest","logout","Выход",""
